tcp        1      0 127.0.0.1:12344         127.0.0.1:53954         CLOSE_WAIT 
tcp        0      0 127.0.0.1:12344         127.0.0.1:53956         ESTABLISHED
tcp        0      0 127.0.0.1:53956         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53958         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53960         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53962         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53964         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53966         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53968         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53970         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53972         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53974         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53976         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53978         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53980         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53982         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53984         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53986         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53988         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53990         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53992         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53994         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53996         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:53998         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:54004         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:54010         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:54012         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:54014         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:54016         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:54018         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:54019         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:54022         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:54024         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:54025         127.0.0.1:12344         ESTABLISHED
tcp        0      0 127.0.0.1:54050         127.0.0.1:12344         ESTABLISHED
tcp        2      0 0.0.0.0:12344           0.0.0.0:*               LISTEN     
tcp        0      0 127.0.0.1:12344         127.0.0.1:53998         SYN_RECV   
tcp        0      0 127.0.0.1:12344         127.0.0.1:54004         SYN_RECV   
tcp        0      0 127.0.0.1:12344         127.0.0.1:54012         SYN_RECV   
tcp        0      0 127.0.0.1:12344         127.0.0.1:54022         SYN_RECV   
tcp        0      0 127.0.0.1:12344         127.0.0.1:54024         SYN_RECV   
tcp        0      0 127.0.0.1:12344         127.0.0.1:54025         SYN_RECV   
tcp        0      0 127.0.0.1:12344         127.0.0.1:54050         SYN_RECV   
